size,data_type,algorithm,threshold,time_µs
27400,random,merge_std,0,4137.0
27500,random,merge_std,0,4203.0
27600,random,merge_std,0,4167.0
27700,random,merge_std,0,4248.0
27800,random,merge_std,0,4220.0
27900,random,merge_std,0,4444.0
28000,random,merge_std,0,4310.0
28100,random,merge_std,0,4256.0
28200,random,merge_std,0,4474.0
28300,random,merge_std,0,4307.0
28400,random,merge_std,0,4433.0
28500,random,merge_std,0,4485.0
28600,random,merge_std,0,4303.0
28700,random,merge_std,0,4389.0
28800,random,merge_std,0,4404.0
28900,random,merge_std,0,4437.0
29000,random,merge_std,0,4512.0
29100,random,merge_std,0,4566.0
29200,random,merge_std,0,4614.0
29300,random,merge_std,0,4674.0
29400,random,merge_std,0,4546.0
29500,random,merge_std,0,6334.0
29600,random,merge_std,0,4623.0
29700,random,merge_std,0,4633.0
29800,random,merge_std,0,4685.0
29900,random,merge_std,0,4732.0
30000,random,merge_std,0,4762.0
30100,random,merge_std,0,4736.0
30200,random,merge_std,0,6427.0
30300,random,merge_std,0,4776.0
30400,random,merge_std,0,4615.0
30500,random,merge_std,0,4576.0
30600,random,merge_std,0,4742.0
30700,random,merge_std,0,4753.0
30800,random,merge_std,0,4789.0
30900,random,merge_std,0,4816.0
31000,random,merge_std,0,4855.0
31100,random,merge_std,0,5040.0
31200,random,merge_std,0,4934.0
31300,random,merge_std,0,4920.0
31400,random,merge_std,0,4930.0
31500,random,merge_std,0,4894.0
31600,random,merge_std,0,4812.0
31700,random,merge_std,0,4798.0
31800,random,merge_std,0,4977.0
31900,random,merge_std,0,4935.0
32000,random,merge_std,0,4829.0
32100,random,merge_std,0,5097.0
32200,random,merge_std,0,5069.0
32300,random,merge_std,0,5282.0
32400,random,merge_std,0,5177.0
32500,random,merge_std,0,5065.0
32600,random,merge_std,0,5139.0
32700,random,merge_std,0,5831.0
32800,random,merge_std,0,5610.0
32900,random,merge_std,0,5707.0
33000,random,merge_std,0,5638.0
33100,random,merge_std,0,5981.0
33200,random,merge_std,0,5893.0
33300,random,merge_std,0,5518.0
33400,random,merge_std,0,5725.0
33500,random,merge_std,0,5783.0
33600,random,merge_std,0,5778.0
33700,random,merge_std,0,5672.0
33800,random,merge_std,0,5770.0
33900,random,merge_std,0,5869.0
34000,random,merge_std,0,5818.0
34100,random,merge_std,0,5585.0
34200,random,merge_std,0,6078.0
34300,random,merge_std,0,5647.0
34400,random,merge_std,0,5909.0
34500,random,merge_std,0,5687.0
34600,random,merge_std,0,6031.0
34700,random,merge_std,0,6144.0
34800,random,merge_std,0,5894.0
34900,random,merge_std,0,5786.0
35000,random,merge_std,0,5441.0
35100,random,merge_std,0,5532.0
35200,random,merge_std,0,5436.0
35300,random,merge_std,0,5564.0
35400,random,merge_std,0,5633.0
35500,random,merge_std,0,5394.0
35600,random,merge_std,0,5619.0
35700,random,merge_std,0,5562.0
35800,random,merge_std,0,6013.0
35900,random,merge_std,0,5609.0
36000,random,merge_std,0,5772.0
36100,random,merge_std,0,5810.0
36200,random,merge_std,0,5878.0
36300,random,merge_std,0,5584.0
36400,random,merge_std,0,5682.0
36500,random,merge_std,0,5974.0
36600,random,merge_std,0,5753.0
36700,random,merge_std,0,5864.0
36800,random,merge_std,0,5635.0
36900,random,merge_std,0,5756.0
37000,random,merge_std,0,5854.0
37100,random,merge_std,0,5912.0
37200,random,merge_std,0,5888.0
37300,random,merge_std,0,5988.0
37400,random,merge_std,0,5910.0
37500,random,merge_std,0,5729.0
37600,random,merge_std,0,5945.0
37700,random,merge_std,0,5990.0
37800,random,merge_std,0,6136.0
37900,random,merge_std,0,5744.0
38000,random,merge_std,0,5934.0
38100,random,merge_std,0,5898.0
38200,random,merge_std,0,6201.0
38300,random,merge_std,0,5963.0
38400,random,merge_std,0,6062.0
38500,random,merge_std,0,6160.0
38600,random,merge_std,0,6059.0
38700,random,merge_std,0,5916.0
38800,random,merge_std,0,5893.0
38900,random,merge_std,0,6193.0
39000,random,merge_std,0,6309.0
39100,random,merge_std,0,6350.0
39200,random,merge_std,0,6091.0
39300,random,merge_std,0,6210.0
39400,random,merge_std,0,6070.0
39500,random,merge_std,0,6209.0
39600,random,merge_std,0,6129.0
39700,random,merge_std,0,6138.0
39800,random,merge_std,0,6551.0
39900,random,merge_std,0,6382.0
40000,random,merge_std,0,6353.0
40100,random,merge_std,0,6142.0
40200,random,merge_std,0,6355.0
40300,random,merge_std,0,6499.0
40400,random,merge_std,0,6215.0
40500,random,merge_std,0,6507.0
40600,random,merge_std,0,6181.0
40700,random,merge_std,0,6362.0
40800,random,merge_std,0,7009.0
40900,random,merge_std,0,6889.0
41000,random,merge_std,0,7022.0
41100,random,merge_std,0,6544.0
41200,random,merge_std,0,6781.0
41300,random,merge_std,0,7019.0
41400,random,merge_std,0,6608.0
41500,random,merge_std,0,6903.0
41600,random,merge_std,0,7099.0
41700,random,merge_std,0,6975.0
41800,random,merge_std,0,6793.0
41900,random,merge_std,0,7374.0
42000,random,merge_std,0,6625.0
42100,random,merge_std,0,7109.0
42200,random,merge_std,0,6810.0
42300,random,merge_std,0,7208.0
42400,random,merge_std,0,7116.0
42500,random,merge_std,0,7311.0
42600,random,merge_std,0,7352.0
42700,random,merge_std,0,7312.0
42800,random,merge_std,0,7587.0
42900,random,merge_std,0,6894.0
43000,random,merge_std,0,6862.0
43100,random,merge_std,0,6729.0
43200,random,merge_std,0,6967.0
43300,random,merge_std,0,6799.0
43400,random,merge_std,0,6948.0
43500,random,merge_std,0,7011.0
43600,random,merge_std,0,6923.0
43700,random,merge_std,0,7017.0
43800,random,merge_std,0,7174.0
43900,random,merge_std,0,7045.0
44000,random,merge_std,0,7044.0
44100,random,merge_std,0,7090.0
44200,random,merge_std,0,7139.0
44300,random,merge_std,0,6957.0
44400,random,merge_std,0,7184.0
44500,random,merge_std,0,7120.0
44600,random,merge_std,0,7153.0
44700,random,merge_std,0,7126.0
44800,random,merge_std,0,7415.0
44900,random,merge_std,0,6922.0
45000,random,merge_std,0,7145.0
45100,random,merge_std,0,7481.0
45200,random,merge_std,0,7134.0
45300,random,merge_std,0,7144.0
45400,random,merge_std,0,7097.0
45500,random,merge_std,0,7476.0
45600,random,merge_std,0,7054.0
45700,random,merge_std,0,7594.0
45800,random,merge_std,0,7323.0
45900,random,merge_std,0,7573.0
46000,random,merge_std,0,7451.0
46100,random,merge_std,0,7640.0
46200,random,merge_std,0,7415.0
46300,random,merge_std,0,8093.0
46400,random,merge_std,0,8027.0
46500,random,merge_std,0,8074.0
46600,random,merge_std,0,7988.0
46700,random,merge_std,0,7827.0
46800,random,merge_std,0,7899.0
46900,random,merge_std,0,8162.0
47000,random,merge_std,0,8273.0
47100,random,merge_std,0,8356.0
47200,random,merge_std,0,8195.0
47300,random,merge_std,0,8204.0
47400,random,merge_std,0,8159.0
47500,random,merge_std,0,8015.0
47600,random,merge_std,0,8134.0
47700,random,merge_std,0,8040.0
47800,random,merge_std,0,8306.0
47900,random,merge_std,0,8433.0
48000,random,merge_std,0,8361.0
48100,random,merge_std,0,8329.0
48200,random,merge_std,0,8244.0
48300,random,merge_std,0,8253.0
48400,random,merge_std,0,8603.0
48500,random,merge_std,0,8606.0
48600,random,merge_std,0,8464.0
48700,random,merge_std,0,8410.0
48800,random,merge_std,0,8805.0
48900,random,merge_std,0,8703.0
49000,random,merge_std,0,8189.0
49100,random,merge_std,0,8527.0
49200,random,merge_std,0,7966.0
49300,random,merge_std,0,8270.0
49400,random,merge_std,0,8062.0
49500,random,merge_std,0,8076.0
49600,random,merge_std,0,7947.0
49700,random,merge_std,0,7822.0
49800,random,merge_std,0,7998.0
49900,random,merge_std,0,7927.0
50000,random,merge_std,0,8119.0
50100,random,merge_std,0,8062.0
50200,random,merge_std,0,8026.0
50300,random,merge_std,0,8000.0
50400,random,merge_std,0,8133.0
50500,random,merge_std,0,8564.0
50600,random,merge_std,0,8272.0
50700,random,merge_std,0,8269.0
50800,random,merge_std,0,7845.0
50900,random,merge_std,0,8067.0
51000,random,merge_std,0,8146.0
51100,random,merge_std,0,8581.0
51200,random,merge_std,0,8576.0
51300,random,merge_std,0,7980.0
51400,random,merge_std,0,8094.0
51500,random,merge_std,0,8155.0
51600,random,merge_std,0,8518.0
51700,random,merge_std,0,8385.0
51800,random,merge_std,0,8229.0
51900,random,merge_std,0,8786.0
52000,random,merge_std,0,8417.0
52100,random,merge_std,0,8459.0
52200,random,merge_std,0,8596.0
52300,random,merge_std,0,8554.0
52400,random,merge_std,0,8443.0
52500,random,merge_std,0,8610.0
52600,random,merge_std,0,8334.0
52700,random,merge_std,0,8534.0
52800,random,merge_std,0,8556.0
52900,random,merge_std,0,8580.0
53000,random,merge_std,0,8563.0
53100,random,merge_std,0,8587.0
53200,random,merge_std,0,8757.0
53300,random,merge_std,0,9373.0
53400,random,merge_std,0,9368.0
53500,random,merge_std,0,9284.0
53600,random,merge_std,0,9158.0
53700,random,merge_std,0,9336.0
53800,random,merge_std,0,9201.0
53900,random,merge_std,0,9186.0
54000,random,merge_std,0,9029.0
54100,random,merge_std,0,9085.0
54200,random,merge_std,0,9644.0
54300,random,merge_std,0,10005.0
54400,random,merge_std,0,9774.0
54500,random,merge_std,0,9831.0
54600,random,merge_std,0,9951.0
54700,random,merge_std,0,9520.0
54800,random,merge_std,0,9666.0
54900,random,merge_std,0,9329.0
55000,random,merge_std,0,9097.0
55100,random,merge_std,0,8761.0
55200,random,merge_std,0,9274.0
55300,random,merge_std,0,9338.0
55400,random,merge_std,0,9021.0
55500,random,merge_std,0,9076.0
55600,random,merge_std,0,9179.0
55700,random,merge_std,0,9069.0
55800,random,merge_std,0,9635.0
55900,random,merge_std,0,9482.0
56000,random,merge_std,0,9236.0
56100,random,merge_std,0,9286.0
56200,random,merge_std,0,9130.0
56300,random,merge_std,0,9323.0
56400,random,merge_std,0,9400.0
56500,random,merge_std,0,9051.0
56600,random,merge_std,0,9217.0
56700,random,merge_std,0,9316.0
56800,random,merge_std,0,9448.0
56900,random,merge_std,0,9304.0
57000,random,merge_std,0,9327.0
57100,random,merge_std,0,9682.0
57200,random,merge_std,0,9357.0
57300,random,merge_std,0,8972.0
57400,random,merge_std,0,9656.0
57500,random,merge_std,0,9563.0
57600,random,merge_std,0,9797.0
57700,random,merge_std,0,9451.0
57800,random,merge_std,0,9426.0
57900,random,merge_std,0,9669.0
58000,random,merge_std,0,9518.0
58100,random,merge_std,0,9699.0
58200,random,merge_std,0,9438.0
58300,random,merge_std,0,10662.0
58400,random,merge_std,0,10035.0
58500,random,merge_std,0,10068.0
58600,random,merge_std,0,10435.0
58700,random,merge_std,0,10524.0
58800,random,merge_std,0,10495.0
58900,random,merge_std,0,10138.0
59000,random,merge_std,0,9968.0
59100,random,merge_std,0,10554.0
59200,random,merge_std,0,10003.0
59300,random,merge_std,0,10272.0
59400,random,merge_std,0,10168.0
59500,random,merge_std,0,10770.0
59600,random,merge_std,0,10921.0
59700,random,merge_std,0,10928.0
59800,random,merge_std,0,10700.0
59900,random,merge_std,0,10651.0
60000,random,merge_std,0,9845.0
60100,random,merge_std,0,9932.0
60200,random,merge_std,0,9979.0
60300,random,merge_std,0,9493.0
60400,random,merge_std,0,9987.0
60500,random,merge_std,0,10087.0
60600,random,merge_std,0,10062.0
60700,random,merge_std,0,10081.0
60800,random,merge_std,0,10044.0
60900,random,merge_std,0,9894.0
61000,random,merge_std,0,10062.0
61100,random,merge_std,0,10149.0
61200,random,merge_std,0,10312.0
61300,random,merge_std,0,10744.0
61400,random,merge_std,0,10330.0
61500,random,merge_std,0,10257.0
61600,random,merge_std,0,10316.0
61700,random,merge_std,0,10221.0
61800,random,merge_std,0,10142.0
61900,random,merge_std,0,10353.0
62000,random,merge_std,0,10502.0
62100,random,merge_std,0,10312.0
62200,random,merge_std,0,10123.0
62300,random,merge_std,0,10933.0
62400,random,merge_std,0,10450.0
62500,random,merge_std,0,10099.0
62600,random,merge_std,0,10651.0
62700,random,merge_std,0,10176.0
62800,random,merge_std,0,10411.0
62900,random,merge_std,0,10540.0
63000,random,merge_std,0,11310.0
63100,random,merge_std,0,11761.0
63200,random,merge_std,0,11874.0
63300,random,merge_std,0,11357.0
63400,random,merge_std,0,10882.0
63500,random,merge_std,0,11401.0
63600,random,merge_std,0,10947.0
63700,random,merge_std,0,10987.0
63800,random,merge_std,0,11965.0
63900,random,merge_std,0,11403.0
64000,random,merge_std,0,12230.0
64100,random,merge_std,0,11535.0
64200,random,merge_std,0,11568.0
64300,random,merge_std,0,11718.0
64400,random,merge_std,0,11886.0
64500,random,merge_std,0,10807.0
64600,random,merge_std,0,10913.0
64700,random,merge_std,0,10764.0
64800,random,merge_std,0,10686.0
64900,random,merge_std,0,11117.0
65000,random,merge_std,0,11236.0
65100,random,merge_std,0,10760.0
65200,random,merge_std,0,10716.0
65300,random,merge_std,0,10840.0
65400,random,merge_std,0,11168.0
65500,random,merge_std,0,11109.0
65600,random,merge_std,0,11076.0
65700,random,merge_std,0,11401.0
65800,random,merge_std,0,11367.0
65900,random,merge_std,0,10971.0
66000,random,merge_std,0,10950.0
66100,random,merge_std,0,11081.0
66200,random,merge_std,0,11623.0
66300,random,merge_std,0,11297.0
66400,random,merge_std,0,11161.0
66500,random,merge_std,0,11086.0
66600,random,merge_std,0,10951.0
66700,random,merge_std,0,11057.0
66800,random,merge_std,0,11194.0
66900,random,merge_std,0,11416.0
67000,random,merge_std,0,11484.0
67100,random,merge_std,0,11330.0
67200,random,merge_std,0,12068.0
67300,random,merge_std,0,12160.0
67400,random,merge_std,0,12494.0
67500,random,merge_std,0,12644.0
67600,random,merge_std,0,12212.0
67700,random,merge_std,0,11948.0
67800,random,merge_std,0,11606.0
67900,random,merge_std,0,11505.0
68000,random,merge_std,0,12111.0
68100,random,merge_std,0,12938.0
68200,random,merge_std,0,11974.0
68300,random,merge_std,0,12390.0
68400,random,merge_std,0,11875.0
68500,random,merge_std,0,12519.0
68600,random,merge_std,0,12338.0
68700,random,merge_std,0,11731.0
68800,random,merge_std,0,11525.0
68900,random,merge_std,0,11680.0
69000,random,merge_std,0,12109.0
69100,random,merge_std,0,12405.0
69200,random,merge_std,0,11397.0
69300,random,merge_std,0,11611.0
69400,random,merge_std,0,11575.0
69500,random,merge_std,0,11580.0
69600,random,merge_std,0,11392.0
69700,random,merge_std,0,11853.0
69800,random,merge_std,0,11437.0
69900,random,merge_std,0,11290.0
70000,random,merge_std,0,11531.0
70100,random,merge_std,0,11323.0
70200,random,merge_std,0,11884.0
70300,random,merge_std,0,11483.0
70400,random,merge_std,0,11672.0
70500,random,merge_std,0,11656.0
70600,random,merge_std,0,12039.0
70700,random,merge_std,0,11201.0
70800,random,merge_std,0,11426.0
70900,random,merge_std,0,12485.0
71000,random,merge_std,0,11750.0
71100,random,merge_std,0,11895.0
71200,random,merge_std,0,11431.0
71300,random,merge_std,0,11865.0
71400,random,merge_std,0,12776.0
71500,random,merge_std,0,12982.0
71600,random,merge_std,0,13108.0
71700,random,merge_std,0,13187.0
71800,random,merge_std,0,12375.0
71900,random,merge_std,0,12212.0
72000,random,merge_std,0,12523.0
72100,random,merge_std,0,14425.0
72200,random,merge_std,0,12711.0
72300,random,merge_std,0,13321.0
72400,random,merge_std,0,13186.0
72500,random,merge_std,0,13179.0
72600,random,merge_std,0,12969.0
72700,random,merge_std,0,12261.0
72800,random,merge_std,0,12283.0
72900,random,merge_std,0,12168.0
73000,random,merge_std,0,12270.0
73100,random,merge_std,0,12779.0
73200,random,merge_std,0,12095.0
73300,random,merge_std,0,11937.0
73400,random,merge_std,0,12807.0
73500,random,merge_std,0,12317.0
73600,random,merge_std,0,12170.0
73700,random,merge_std,0,12312.0
73800,random,merge_std,0,12151.0
73900,random,merge_std,0,12198.0
74000,random,merge_std,0,12558.0
74100,random,merge_std,0,12325.0
74200,random,merge_std,0,12401.0
74300,random,merge_std,0,12779.0
74400,random,merge_std,0,12195.0
74500,random,merge_std,0,12091.0
74600,random,merge_std,0,12374.0
74700,random,merge_std,0,12112.0
74800,random,merge_std,0,12699.0
74900,random,merge_std,0,12367.0
75000,random,merge_std,0,13470.0
75100,random,merge_std,0,12508.0
75200,random,merge_std,0,12270.0
75300,random,merge_std,0,12456.0
75400,random,merge_std,0,12283.0
75500,random,merge_std,0,13895.0
75600,random,merge_std,0,13180.0
75700,random,merge_std,0,13093.0
75800,random,merge_std,0,13048.0
75900,random,merge_std,0,13525.0
76000,random,merge_std,0,12822.0
76100,random,merge_std,0,12992.0
76200,random,merge_std,0,13149.0
76300,random,merge_std,0,13766.0
76400,random,merge_std,0,13560.0
76500,random,merge_std,0,13561.0
76600,random,merge_std,0,12379.0
76700,random,merge_std,0,13170.0
76800,random,merge_std,0,13336.0
76900,random,merge_std,0,13011.0
77000,random,merge_std,0,13221.0
77100,random,merge_std,0,12543.0
77200,random,merge_std,0,12922.0
77300,random,merge_std,0,12946.0
77400,random,merge_std,0,12788.0
77500,random,merge_std,0,12699.0
77600,random,merge_std,0,12988.0
77700,random,merge_std,0,12636.0
77800,random,merge_std,0,12405.0
77900,random,merge_std,0,13240.0
78000,random,merge_std,0,13380.0
78100,random,merge_std,0,13254.0
78200,random,merge_std,0,13093.0
78300,random,merge_std,0,13000.0
78400,random,merge_std,0,12866.0
78500,random,merge_std,0,13598.0
78600,random,merge_std,0,13688.0
78700,random,merge_std,0,13511.0
78800,random,merge_std,0,13272.0
78900,random,merge_std,0,13094.0
79000,random,merge_std,0,14293.0
79100,random,merge_std,0,14367.0
79200,random,merge_std,0,14430.0
79300,random,merge_std,0,15182.0
79400,random,merge_std,0,13718.0
79500,random,merge_std,0,13994.0
79600,random,merge_std,0,14067.0
79700,random,merge_std,0,14215.0
79800,random,merge_std,0,13822.0
79900,random,merge_std,0,14172.0
80000,random,merge_std,0,14579.0
80100,random,merge_std,0,15098.0
80200,random,merge_std,0,13108.0
80300,random,merge_std,0,13239.0
80400,random,merge_std,0,13199.0
80500,random,merge_std,0,13847.0
80600,random,merge_std,0,13193.0
80700,random,merge_std,0,12979.0
80800,random,merge_std,0,13346.0
80900,random,merge_std,0,13416.0
81000,random,merge_std,0,13524.0
81100,random,merge_std,0,13833.0
81200,random,merge_std,0,13804.0
81300,random,merge_std,0,13198.0
81400,random,merge_std,0,14033.0
81500,random,merge_std,0,13698.0
81600,random,merge_std,0,13517.0
81700,random,merge_std,0,13786.0
81800,random,merge_std,0,13286.0
81900,random,merge_std,0,13968.0
82000,random,merge_std,0,13718.0
82100,random,merge_std,0,13736.0
82200,random,merge_std,0,14448.0
82300,random,merge_std,0,13720.0
82400,random,merge_std,0,13274.0
82500,random,merge_std,0,14700.0
82600,random,merge_std,0,15063.0
82700,random,merge_std,0,15227.0
82800,random,merge_std,0,14651.0
