size,data_type,algorithm,threshold,time_µs
5100,reversed,merge_hybrid,30,288.0
5100,reversed,merge_hybrid,50,403.0
5200,reversed,merge_hybrid,5,307.0
5200,reversed,merge_hybrid,10,281.0
5200,reversed,merge_hybrid,15,280.0
5200,reversed,merge_hybrid,20,287.0
5200,reversed,merge_hybrid,30,299.0
5200,reversed,merge_hybrid,50,411.0
5300,reversed,merge_hybrid,5,329.0
5300,reversed,merge_hybrid,10,306.0
5300,reversed,merge_hybrid,15,294.0
5300,reversed,merge_hybrid,20,299.0
5300,reversed,merge_hybrid,30,316.0
5300,reversed,merge_hybrid,50,430.0
5400,reversed,merge_hybrid,5,356.0
5400,reversed,merge_hybrid,10,308.0
5400,reversed,merge_hybrid,15,299.0
5400,reversed,merge_hybrid,20,291.0
5400,reversed,merge_hybrid,30,305.0
5400,reversed,merge_hybrid,50,420.0
5500,reversed,merge_hybrid,5,341.0
5500,reversed,merge_hybrid,10,433.0
5500,reversed,merge_hybrid,15,301.0
5500,reversed,merge_hybrid,20,314.0
5500,reversed,merge_hybrid,30,325.0
5500,reversed,merge_hybrid,50,451.0
5600,reversed,merge_hybrid,5,334.0
5600,reversed,merge_hybrid,10,327.0
5600,reversed,merge_hybrid,15,300.0
5600,reversed,merge_hybrid,20,298.0
5600,reversed,merge_hybrid,30,331.0
5600,reversed,merge_hybrid,50,454.0
5700,reversed,merge_hybrid,5,355.0
5700,reversed,merge_hybrid,10,363.0
5700,reversed,merge_hybrid,15,309.0
5700,reversed,merge_hybrid,20,321.0
5700,reversed,merge_hybrid,30,392.0
5700,reversed,merge_hybrid,50,481.0
5800,reversed,merge_hybrid,5,357.0
5800,reversed,merge_hybrid,10,337.0
5800,reversed,merge_hybrid,15,315.0
5800,reversed,merge_hybrid,20,311.0
5800,reversed,merge_hybrid,30,343.0
5800,reversed,merge_hybrid,50,480.0
5900,reversed,merge_hybrid,5,345.0
5900,reversed,merge_hybrid,10,329.0
5900,reversed,merge_hybrid,15,313.0
5900,reversed,merge_hybrid,20,316.0
5900,reversed,merge_hybrid,30,343.0
5900,reversed,merge_hybrid,50,471.0
6000,reversed,merge_hybrid,5,390.0
6000,reversed,merge_hybrid,10,372.0
6000,reversed,merge_hybrid,15,336.0
6000,reversed,merge_hybrid,20,335.0
6000,reversed,merge_hybrid,30,398.0
6000,reversed,merge_hybrid,50,507.0
6100,reversed,merge_hybrid,5,389.0
6100,reversed,merge_hybrid,10,373.0
6100,reversed,merge_hybrid,15,328.0
6100,reversed,merge_hybrid,20,346.0
6100,reversed,merge_hybrid,30,512.0
6100,reversed,merge_hybrid,50,558.0
6200,reversed,merge_hybrid,5,411.0
6200,reversed,merge_hybrid,10,364.0
6200,reversed,merge_hybrid,15,394.0
6200,reversed,merge_hybrid,20,358.0
6200,reversed,merge_hybrid,30,433.0
6200,reversed,merge_hybrid,50,553.0
6300,reversed,merge_hybrid,5,418.0
6300,reversed,merge_hybrid,10,381.0
6300,reversed,merge_hybrid,15,344.0
6300,reversed,merge_hybrid,20,365.0
6300,reversed,merge_hybrid,30,409.0
6300,reversed,merge_hybrid,50,592.0
6400,reversed,merge_hybrid,5,451.0
6400,reversed,merge_hybrid,10,370.0
6400,reversed,merge_hybrid,15,353.0
6400,reversed,merge_hybrid,20,344.0
6400,reversed,merge_hybrid,30,396.0
6400,reversed,merge_hybrid,50,626.0
6500,reversed,merge_hybrid,5,458.0
6500,reversed,merge_hybrid,10,387.0
6500,reversed,merge_hybrid,15,362.0
6500,reversed,merge_hybrid,20,365.0
6500,reversed,merge_hybrid,30,423.0
6500,reversed,merge_hybrid,50,468.0
6600,reversed,merge_hybrid,5,440.0
6600,reversed,merge_hybrid,10,382.0
6600,reversed,merge_hybrid,15,364.0
6600,reversed,merge_hybrid,20,361.0
6600,reversed,merge_hybrid,30,425.0
6600,reversed,merge_hybrid,50,422.0
6700,reversed,merge_hybrid,5,424.0
6700,reversed,merge_hybrid,10,422.0
6700,reversed,merge_hybrid,15,362.0
6700,reversed,merge_hybrid,20,365.0
6700,reversed,merge_hybrid,30,416.0
6700,reversed,merge_hybrid,50,553.0
6800,reversed,merge_hybrid,5,440.0
6800,reversed,merge_hybrid,10,404.0
6800,reversed,merge_hybrid,15,374.0
6800,reversed,merge_hybrid,20,394.0
6800,reversed,merge_hybrid,30,458.0
6800,reversed,merge_hybrid,50,445.0
6900,reversed,merge_hybrid,5,434.0
6900,reversed,merge_hybrid,10,393.0
6900,reversed,merge_hybrid,15,382.0
6900,reversed,merge_hybrid,20,377.0
6900,reversed,merge_hybrid,30,450.0
6900,reversed,merge_hybrid,50,497.0
7000,reversed,merge_hybrid,5,433.0
7000,reversed,merge_hybrid,10,395.0
7000,reversed,merge_hybrid,15,388.0
7000,reversed,merge_hybrid,20,390.0
7000,reversed,merge_hybrid,30,451.0
7000,reversed,merge_hybrid,50,445.0
7100,reversed,merge_hybrid,5,441.0
7100,reversed,merge_hybrid,10,408.0
7100,reversed,merge_hybrid,15,387.0
7100,reversed,merge_hybrid,20,396.0
7100,reversed,merge_hybrid,30,459.0
7100,reversed,merge_hybrid,50,470.0
7200,reversed,merge_hybrid,5,568.0
